80871;202197
82792;200171
83110;198637
107004;197574
107734;196054
108964;193475
109100;193159
109158;189932
109250;187359
109328;185955
109420;183382
110003;182499
110095;179926
110825;178406
114376;168924
115983;161712
116135;155511
116225;154831
117742;148299
117832;147619
12004;30011
539964;978077
540023;972118
540092;970468
540164;968183
540226;962076
540285;956117
540354;954467
540426;952182
540702;951038
541023;950952
541038;949885
541039;934437
541098;928478
541156;887578
541225;885928
541297;883643
541418;871577
541487;869927
541559;867642
541835;866498
542171;865345
542215;860453
542231;843938
542300;842288
542372;840003
542581;805964
542624;803147
542693;801497
542765;799212
542808;793800
542877;792150
542949;789865
543025;788409
543294;788266
543363;786616
543435;784331
544080;783620
544349;783477
544418;781827
544490;779542
544724;778189
544767;775372
544783;772230
544826;769413
544895;767763
544951;766025
544967;765478
545010;760066
545079;758416
545151;756131
545227;754675
545496;754532
545565;752882
545637;750597
546282;749886
546551;749743
546620;748093
546692;745808
548071;745197
548283;742918
548510;741346
549693;740052
549785;739194
549812;738308
549854;737544
549926;735259
550840;734405
550867;733519
550909;732755
550981;730470
552360;729859
552572;727580
552799;726008
554178;725397
554390;723118
564224;723031
110959;277407
153917;277207
155298;274303
155956;273187
157337;270283
138035;217881
138229;202416
140002;189913
142041;185893
108098;270243
110577;267561
205080;376719
205376;374340
205601;357076
205897;354697
206309;351467
207112;350438
207407;348664
207408;348059
207642;347970
207820;344829
208741;344562
209153;341332
210532;340721
210744;338442
217357;337208
217358;336603
217644;335579
217770;333373
219149;332762
219151;330469
220530;329858
220742;327579
238322;327338
245432;324489
246527;322609
246813;321585
246939;319379
248320;316475
261237;315867
262332;313987
262744;310757
145574;317864
146031;314927
157629;314682
602618;1090613
602677;1084654
602852;1084056
602880;1074612
602939;1068653
603114;1068055
603215;1067509
603390;1066911
603623;1064071
603677;1063488
603693;1046973
603752;1041014
603810;1000114
603985;999516
604072;984113
604247;983515
604348;982969
604523;982371
604756;979531
604869;972989
604885;956474
605060;955876
605161;955330
605235;918500
605278;915683
605453;915085
605462;906336
605538;904880
605713;904282
605948;900802
606123;900204
606629;900156
606640;899413
606723;898903
606815;898815
606898;898305
607378;890725
607421;887908
607437;884766
607480;881949
607605;878561
607664;872602
607740;871146
607915;870548
608150;867068
608325;866470
608831;866422
608842;865679
608925;865169
609017;865081
609100;864571
611037;864133
611212;863535
611346;863293
611521;862695
611714;862147
611889;861549
612027;861540
612097;860755
612105;859166
612206;856523
612325;854779
612369;840628
612515;832591
612544;817152
612690;809115
612865;808517
612915;800866
613061;792829
613236;792231
613550;790705
613725;790107
613963;789574
614242;789316
614325;788806
614417;788718
614500;788208
614655;788185
614712;788074
614738;787675
614774;786545
614949;785947
614993;782003
615168;781405
615482;779879
615657;779281
615895;778748
616174;778490
616232;771867
616407;771269
616721;769743
616896;769145
617134;768612
617413;768354
617496;767844
617588;767756
617671;767246
617826;767223
617909;766713
617945;765583
618120;764985
618164;761041
618339;760443
618653;758917
618828;758319
619066;757786
619345;757528
619428;757018
619520;756930
619603;756420
619758;756397
619841;755887
619877;754757
620052;754159
620558;754111
620569;753368
620652;752858
620744;752770
620827;752260
621526;752035
621618;751947
621701;751437
622050;751224
622142;751136
622225;750626
623435;742686
623610;742088
624116;742040
624127;741297
624210;740787
624302;740699
624385;740189
624688;734799
624834;726762
625009;726164
625515;726116
625526;725373
625609;724863
625701;724775
625784;724265
626250;722954
626310;722605
626425;722356
626485;722007
626606;721724
626781;721126
627025;721055
627085;720706
627177;720618
627200;720457
627260;720108
627381;719825
627473;719737
627556;719227
628005;705800
628180;705202
628686;705154
628697;704411
628780;703901
628872;703813
628955;703303
629654;703078
629746;702990
629829;702480
630178;702267
630270;702179
630353;701669
635190;699005
635365;698407
635871;698359
635882;697616
635965;697106
636057;697018
636140;696508
636789;691292
637470;690646
637481;689903
638187;689658
638355;689080
638868;689012
638879;688269
639795;681643
640476;680997
640487;680254
640570;679744
641361;679431
641444;678921
641885;678620
641968;678110
646980;674848
647661;674202
647672;673459
647755;672949
96003;151463
96174;149517
96855;148871
96866;148128
249522;393636
249561;391651
249720;390218
260208;386630
260247;384645
260406;383212
385053;662139
385948;661128
388799;659539
389306;629106
389994;607564
390040;604742
390281;603717
390750;603130
390780;602418
391099;601583
391568;600996
399816;600833
400285;600246
400823;585597
401064;584572
402458;583998
402957;582699
403276;581864
404325;570464
414184;547802
62849;157116
67055;154552
67202;151416
67349;150926
67361;150098
67746;149464
67904;148808
68051;148318
68063;147490
213996;365589
215423;365329
215603;358377
217030;358117
219784;355743
220671;352500
225073;351334
225276;325636
226883;318424
329071;563709
329908;563677
330502;471421
330544;460166
331329;456700
332151;452954
332936;449488
334259;449362
337792;448800
338004;446999
338709;434178
339404;428567
340316;426966
341011;421355
341971;399063
343578;391851
128361;320898
130045;316229
131757;314949
133796;310929
137241;305731
140279;299465
140654;293553
141445;292976
141833;278747
145584;273447
302511;569762
302718;564803
303032;550119
303239;545160
304337;542357
304572;541663
304750;538522
306083;535025
313287;532411
314668;529507
339284;529187
346488;526573
347869;523669
353708;523469
361739;522435
361856;522069
362293;517951
